1670608800000,17152
1670608740000,17154
1670608680000,17154
1670608620000,17154
1670608560000,17151
1670608500000,17150.5
1670608440000,17150.5
1670608380000,17150.5
1670608320000,17150.5
1670608260000,17150.5
1670608200000,17150.5
1670608140000,17150.5
1670608080000,17150
1670608020000,17150.5
1670607960000,17150.5
1670607900000,17150.5
1670607840000,17150.5
1670607780000,17150
1670607720000,17150
1670607660000,17153
1670607600000,17158
1670607540000,17155.5
1670607480000,17151.5
1670607420000,17151.5
1670607360000,17151.5
1670607300000,17151.5
1670607240000,17151.5
1670607180000,17139.5
1670607120000,17139.5
1670607060000,17139.5
1670607000000,17139.5
1670606940000,17139.5
1670606880000,17139.5
1670606820000,17139
1670606760000,17139.5
1670606700000,17139.5
1670606640000,17139
1670606580000,17142
1670606520000,17143.5
1670606460000,17143.5
1670606400000,17149
1670606340000,17148.5
1670606280000,17149
1670606220000,17149
1670606160000,17149
1670606100000,17149
1670606040000,17150.5
1670605980000,17150.5
1670605920000,17151.5
1670605860000,17153
1670605800000,17153
1670605740000,17149
1670605680000,17148.5
1670605620000,17149
1670605560000,17144.5
1670605500000,17144
1670605440000,17145.5
1670605380000,17139.5
1670605320000,17137.5
1670605260000,17138
1670605200000,17142
1670605140000,17143.5
1670605080000,17143.5
1670605020000,17150.5
1670604960000,17154.5
1670604900000,17154
1670604840000,17154.5
1670604780000,17153.5
1670604720000,17152
1670604660000,17152
1670604600000,17152
1670604540000,17153
1670604480000,17155.5
1670604420000,17159
1670604360000,17163.5
1670604300000,17159.5
1670604240000,17147
1670604180000,17144
1670604120000,17145
1670604060000,17147
1670604000000,17146.5
1670603940000,17146.5
1670603880000,17147
1670603820000,17161
1670603760000,17161
1670603700000,17168.5
1670603640000,17168.5
1670603580000,17168
1670603520000,17168.5
1670603460000,17168.5
1670603400000,17168.5
1670603340000,17168
1670603280000,17167
1670603220000,17166.5
1670603160000,17167
1670603100000,17167.5
1670603040000,17167.5
1670602980000,17167.5
1670602920000,17167
1670602860000,17166
1670602800000,17165.5
1670602740000,17165
1670602680000,17160.5
1670602620000,17161
1670602560000,17160.5
1670602500000,17157
1670602440000,17156.5
1670602380000,17154.5
1670602320000,17158.5
1670602260000,17158
1670602200000,17158
1670602140000,17163
1670602080000,17169.5
1670602020000,17169
1670601960000,17167
1670601900000,17170.5
1670601840000,17175.5
1670601780000,17175.5
1670601720000,17169
1670601660000,17168.5
1670601600000,17169
